attacker,defender,win_rate_pct,n,mean_combat_sec,mean_winner_str,mean_loser_str_at_rout
test_infantry,test_infantry,63.6,11,79.95,69.42,58.39
test_infantry,test_infantry_charge,63.6,11,79.95,69.42,58.39
test_infantry,test_spears,100.0,11,54.04,97.00,47.11
test_infantry,test_archer,100.0,11,35.35,90.68,59.08
test_infantry,test_cavalry,100.0,11,47.44,95.77,64.08
test_infantry,test_skirmisher,100.0,11,36.20,97.44,57.68
test_infantry_charge,test_infantry,100.0,11,52.85,80.36,44.59
test_infantry_charge,test_infantry_charge,100.0,11,52.85,80.36,44.59
test_infantry_charge,test_spears,100.0,11,56.76,95.25,30.12
test_infantry_charge,test_archer,100.0,11,28.00,95.09,48.48
test_infantry_charge,test_cavalry,100.0,11,39.82,96.52,65.13
test_infantry_charge,test_skirmisher,100.0,11,30.60,97.83,50.34
test_spears,test_infantry,0.0,11,54.04,96.99,66.29
test_spears,test_infantry_charge,0.0,11,54.04,96.99,66.29
test_spears,test_spears,54.5,11,375.22,71.71,67.63
test_spears,test_archer,100.0,11,102.55,87.71,77.47
test_spears,test_cavalry,0.0,11,666.10,-1.00,-1.00
test_spears,test_skirmisher,0.0,11,665.30,-1.00,-1.00
test_archer,test_infantry,0.0,11,35.36,90.68,59.06
test_archer,test_infantry_charge,0.0,11,28.00,95.08,48.48
test_archer,test_spears,0.0,11,102.56,87.70,77.46
test_archer,test_archer,100.0,11,87.89,97.11,60.46
test_archer,test_cavalry,0.0,11,25.40,95.55,83.67
test_archer,test_skirmisher,0.0,11,151.38,76.34,54.93
test_cavalry,test_infantry,0.0,11,52.43,93.53,66.08
test_cavalry,test_infantry_charge,0.0,11,52.43,93.53,66.08
test_cavalry,test_spears,0.0,11,90.44,92.49,80.25
test_cavalry,test_archer,100.0,11,25.40,95.55,83.67
test_cavalry,test_cavalry,100.0,11,60.55,91.25,84.89
test_cavalry,test_skirmisher,100.0,11,30.80,97.40,81.90
test_skirmisher,test_infantry,0.0,11,36.20,97.44,67.73
test_skirmisher,test_infantry_charge,0.0,11,36.20,97.44,67.73
test_skirmisher,test_spears,0.0,11,104.16,92.34,75.16
test_skirmisher,test_archer,100.0,11,151.22,76.35,54.93
test_skirmisher,test_cavalry,0.0,11,73.02,94.48,70.60
test_skirmisher,test_skirmisher,72.7,11,125.12,69.85,62.41
