sigma,enabled,edge,atk_push,n,atk_win_rate_pct,rule_ok
0.02,true,0%,50.0,33,48.5,true
0.02,true,2%,51.0,33,63.6,true
0.02,true,3%,51.5,33,93.9,false
0.02,true,5%,52.5,33,84.8,false
0.02,true,10%,55.0,33,97.0,false
0.02,true,20%,60.0,33,100.0,false
0.02,true,50%,75.0,33,100.0,true
0.03,true,0%,50.0,33,51.5,true
0.03,true,2%,51.0,33,60.6,true
0.03,true,3%,51.5,33,66.7,true
0.03,true,5%,52.5,33,78.8,false
0.03,true,10%,55.0,33,90.9,false
0.03,true,20%,60.0,33,100.0,false
0.03,true,50%,75.0,33,100.0,true
0.04,true,0%,50.0,33,42.4,true
0.04,true,2%,51.0,33,54.5,true
0.04,true,3%,51.5,33,66.7,true
0.04,true,5%,52.5,33,75.8,false
0.04,true,10%,55.0,33,87.9,true
0.04,true,20%,60.0,33,100.0,false
0.04,true,50%,75.0,33,97.0,false
0.05,true,0%,50.0,33,45.5,true
0.05,true,2%,51.0,33,60.6,true
0.05,true,3%,51.5,33,69.7,false
0.05,true,5%,52.5,33,72.7,true
0.05,true,10%,55.0,33,93.9,false
0.05,true,20%,60.0,33,100.0,false
0.05,true,50%,75.0,33,100.0,true
0.06,true,0%,50.0,33,36.4,false
0.06,true,2%,51.0,33,48.5,true
0.06,true,3%,51.5,33,60.6,true
0.06,true,5%,52.5,33,54.5,false
0.06,true,10%,55.0,33,72.7,false
0.06,true,20%,60.0,33,93.9,true
0.06,true,50%,75.0,33,90.9,false
0.08,true,0%,50.0,33,51.5,true
0.08,true,2%,51.0,33,63.6,true
0.08,true,3%,51.5,33,60.6,true
0.08,true,5%,52.5,33,66.7,true
0.08,true,10%,55.0,33,69.7,false
0.08,true,20%,60.0,33,84.8,false
0.08,true,50%,75.0,33,100.0,true
0.10,true,0%,50.0,33,48.5,true
0.10,true,2%,51.0,33,63.6,true
0.10,true,3%,51.5,33,60.6,true
0.10,true,5%,52.5,33,60.6,false
0.10,true,10%,55.0,33,81.8,true
0.10,true,20%,60.0,33,72.7,false
0.10,true,50%,75.0,33,84.8,false
0.12,true,0%,50.0,33,57.6,true
0.12,true,2%,51.0,33,51.5,true
0.12,true,3%,51.5,33,69.7,false
0.12,true,5%,52.5,33,51.5,false
0.12,true,10%,55.0,33,63.6,false
0.12,true,20%,60.0,33,75.8,false
0.12,true,50%,75.0,33,78.8,false
0.15,true,0%,50.0,33,54.5,true
0.15,true,2%,51.0,33,63.6,true
0.15,true,3%,51.5,33,57.6,true
0.15,true,5%,52.5,33,63.6,true
0.15,true,10%,55.0,33,69.7,false
0.15,true,20%,60.0,33,72.7,false
0.15,true,50%,75.0,33,75.8,false
0.00,false,0%,50.0,%d,%.1f,n/a
