sigma,enabled,edge,atk_push,n,atk_win_rate_pct,se_pct,rule_ok
0.030,true,0%,50,500,50.40,2.24,True
0.030,true,2%,51,500,63.60,2.15,True
0.030,true,3%,51.5,500,70.60,2.04,False
0.030,true,5%,52.5,500,80.00,1.79,False
0.030,true,10%,55,500,95.00,0.97,False
0.030,true,20%,60,500,100.00,0.00,False
0.030,true,50%,75,500,100.00,0.00,True
0.040,true,0%,50,500,50.80,2.24,True
0.040,true,2%,51,500,59.80,2.19,True
0.040,true,3%,51.5,500,65.60,2.12,True
0.040,true,5%,52.5,500,74.00,1.96,True
0.040,true,10%,55,500,88.60,1.42,True
0.040,true,20%,60,500,99.20,0.40,False
0.040,true,50%,75,500,100.00,0.00,True
0.045,true,0%,50,500,50.60,2.24,True
0.045,true,2%,51,500,59.20,2.20,True
0.045,true,3%,51.5,500,63.00,2.16,True
0.045,true,5%,52.5,500,72.80,1.99,True
0.045,true,10%,55,500,86.00,1.55,True
0.045,true,20%,60,500,97.80,0.66,True
0.045,true,50%,75,500,99.60,0.28,True
0.050,true,0%,50,500,50.80,2.24,True
0.050,true,2%,51,500,58.80,2.20,True
0.050,true,3%,51.5,500,62.00,2.17,True
0.050,true,5%,52.5,500,70.60,2.04,True
0.050,true,10%,55,500,82.60,1.70,True
0.050,true,20%,60,500,95.80,0.90,True
0.050,true,50%,75,500,99.00,0.44,True
0.055,true,0%,50,500,50.80,2.24,True
0.055,true,2%,51,500,58.00,2.21,True
0.055,true,3%,51.5,500,61.00,2.18,True
0.055,true,5%,52.5,500,68.20,2.08,True
0.055,true,10%,55,500,81.40,1.74,True
0.055,true,20%,60,500,94.20,1.05,True
0.055,true,50%,75,500,98.60,0.53,True
0.060,true,0%,50,500,50.80,2.24,True
0.060,true,2%,51,500,57.20,2.21,True
0.060,true,3%,51.5,500,59.80,2.19,True
0.060,true,5%,52.5,500,66.60,2.11,True
0.060,true,10%,55,500,79.20,1.82,True
0.060,true,20%,60,500,91.80,1.23,True
0.060,true,50%,75,500,96.40,0.83,False
0.070,true,0%,50,500,51.00,2.24,True
0.070,true,2%,51,500,56.00,2.22,True
0.070,true,3%,51.5,500,59.00,2.20,True
0.070,true,5%,52.5,500,63.80,2.15,True
0.070,true,10%,55,500,74.60,1.95,False
0.070,true,20%,60,500,87.80,1.46,False
0.070,true,50%,75,500,93.80,1.08,False
0.080,true,0%,50,500,50.80,2.24,True
0.080,true,2%,51,500,55.80,2.22,True
0.080,true,3%,51.5,500,58.40,2.20,True
0.080,true,5%,52.5,500,61.80,2.17,False
0.080,true,10%,55,500,73.40,1.98,False
0.080,true,20%,60,500,85.00,1.60,False
0.080,true,50%,75,500,89.80,1.35,False
0.090,true,0%,50,500,50.80,2.24,True
0.090,true,2%,51,500,55.40,2.22,True
0.090,true,3%,51.5,500,57.60,2.21,True
0.090,true,5%,52.5,500,61.00,2.18,False
0.090,true,10%,55,500,71.60,2.02,False
0.090,true,20%,60,500,83.00,1.68,False
0.090,true,50%,75,500,87.60,1.47,False
0.000,false,0%,50.0,500,49.20,2.24,n/a
