seed,combat,ratio,rout,left,winner,flank_wins
1375,21.100000,0.278364,76.171746,59.162181,red_b,true
1376,22.200000,0.292876,76.753009,62.255838,red_b,true
1377,21.600000,0.284960,76.279284,58.254848,red_b,true
1378,21.000000,0.277045,76.178350,59.081652,red_b,true
1379,22.200000,0.292876,76.235760,56.342413,red_b,true
1380,21.300000,0.281003,76.277406,59.946335,red_b,true
1381,21.300000,0.281003,76.172288,57.021845,red_b,true
1382,20.300000,0.267810,75.905200,58.391168,red_b,true
1383,21.400000,0.282322,76.630473,61.092329,red_b,true
1384,21.900000,0.288918,76.463345,60.640399,red_b,true
1385,21.700000,0.286280,75.872764,52.823449,red_b,true
1386,21.900000,0.288918,76.733537,63.102935,red_b,true
1387,21.300000,0.281003,76.349227,61.720419,red_b,true
1388,20.200000,0.266491,75.795790,58.841269,red_b,true
1389,21.500000,0.283641,76.336701,61.227973,red_b,true
1390,21.800000,0.287599,75.802644,53.089984,red_b,true
1391,21.000000,0.277045,76.215000,60.089867,red_b,true
1392,22.300000,0.294195,77.061509,62.822456,red_b,true
1393,20.200000,0.266491,76.376229,64.238051,red_b,true
1394,20.300000,0.267810,75.312219,53.417545,red_b,true
1395,21.900000,0.288918,76.765224,62.457205,red_b,true
1396,22.900000,0.302111,76.806125,61.537700,red_b,true
1397,21.900000,0.288918,76.886658,63.972978,red_b,true
1398,21.700000,0.286280,76.461843,59.095525,red_b,true
1399,20.500000,0.270449,75.726372,56.623167,red_b,true
1400,21.500000,0.283641,75.884260,56.859918,red_b,true
1401,20.500000,0.270449,76.255014,60.906610,red_b,true
1402,21.900000,0.288918,76.857883,63.129555,red_b,true
1403,21.200000,0.279683,75.259519,50.719206,red_b,true
1404,21.500000,0.283641,76.667282,63.175149,red_b,true
1405,20.800000,0.274406,76.171660,59.737136,red_b,true
1406,21.900000,0.288918,76.193715,56.489274,red_b,true
1407,22.600000,0.298153,76.987155,63.181740,red_b,true
1408,23.300000,0.307388,76.987711,61.339470,red_b,true
1409,21.800000,0.287599,77.071800,64.628730,red_b,true
1410,21.200000,0.279683,76.005004,57.534435,red_b,true
1411,21.900000,0.288918,76.690260,62.855221,red_b,true
1412,22.000000,0.290237,75.943256,56.385255,red_b,true
1413,20.700000,0.273087,76.010625,57.325196,red_b,true
1414,21.900000,0.288918,76.584198,60.739343,red_b,true
1415,19.900000,0.262533,75.417886,53.243943,red_b,true
1416,22.600000,0.298153,77.145113,64.112377,red_b,true
1417,21.200000,0.279683,76.475383,61.993490,red_b,true
1418,22.200000,0.292876,76.213026,56.850370,red_b,true
1419,22.000000,0.290237,75.985468,56.089583,red_b,true
1420,20.600000,0.271768,76.051036,60.007523,red_b,true
1421,21.700000,0.286280,76.066400,58.444005,red_b,true
1422,20.500000,0.270449,75.861453,58.313355,red_b,true
1423,21.600000,0.284960,76.347795,58.648812,red_b,true
1424,23.800000,0.313984,77.566872,65.503013,red_b,true
1425,21.900000,0.288918,76.073066,55.782485,red_b,true
1426,22.300000,0.294195,76.667299,59.726759,red_b,true
1427,21.500000,0.283641,76.568218,62.305601,red_b,true
1428,22.900000,0.302111,76.647135,59.500229,red_b,true
1429,22.100000,0.291557,76.971762,62.246965,red_b,true
1430,21.300000,0.281003,75.746814,55.138407,red_b,true
1431,21.300000,0.281003,76.114162,57.159605,red_b,true
1432,21.400000,0.282322,76.192722,57.405875,red_b,true
1433,21.400000,0.282322,76.737269,61.436969,red_b,true
1434,21.300000,0.281003,76.324130,60.159450,red_b,true
1435,20.900000,0.275726,76.232284,59.002277,red_b,true
1436,22.000000,0.290237,76.375502,58.902775,red_b,true
1437,22.300000,0.294195,77.004366,63.264514,red_b,true
1438,20.400000,0.269129,75.825438,56.426068,red_b,true
1439,20.800000,0.274406,75.513712,53.084779,red_b,true
1440,22.400000,0.295515,77.352423,66.070172,red_b,true
1441,21.400000,0.282322,76.107910,59.680693,red_b,true
1442,20.500000,0.270449,75.671047,56.224028,red_b,true
1443,22.000000,0.290237,76.603088,59.512068,red_b,true
1444,22.800000,0.300792,76.895828,60.670149,red_b,true
1445,20.700000,0.273087,76.038993,58.033397,red_b,true
1446,20.600000,0.271768,76.275644,59.235429,red_b,true
1447,21.300000,0.281003,76.284230,59.488983,red_b,true
1448,20.700000,0.273087,75.861304,56.184662,red_b,true
1449,20.800000,0.274406,76.025974,59.086891,red_b,true
1450,20.900000,0.275726,75.596014,53.626477,red_b,true
1451,21.400000,0.282322,76.276944,58.457511,red_b,true
1452,20.400000,0.269129,75.935475,57.530169,red_b,true
1453,21.600000,0.284960,76.485055,62.118857,red_b,true
