seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1250,46.373507,39.947565,0.861431,64.000,40.300,1,1,1.003363|1.025578,1.003363|1.025578|0.999359|0.979618,false
1251,45.908884,38.754828,0.844168,65.000,40.800,1,1,0.961082|1.000174,0.961082|1.000174|0.951885|0.982084,false
1252,22.937647,51.849057,2.260435,63.800,40.100,1,1,1.018821|0.987913,1.018821|0.987913|1.083572|0.995153,false
1253,47.150287,42.907773,0.910021,61.000,38.800,1,1,1.060308|1.078623,1.060308|1.078623|1.017288|1.016240,false
1254,20.033508,53.572246,2.674132,65.200,40.800,1,1,0.977694|0.912248,0.977694|0.912248|1.024765|1.024545,false
1255,45.918595,44.269951,0.964096,67.800,42.000,1,1,0.993153|1.006954,0.993153|1.006954|1.076622|0.919105,false
1256,47.494831,46.525544,0.979592,55.400,36.200,1,1,0.975830|1.071125,0.975830|1.071125|0.942637|1.008076,false
1257,20.094955,52.500918,2.612642,59.800,38.000,1,1,1.029207|0.951157,1.029207|0.951157|1.083445|0.963595,false
1258,19.889676,57.478233,2.889853,56.000,36.200,1,1,1.066418|0.978874,1.066418|0.978874|0.929814|1.037863,false
1259,23.667188,49.835657,2.105686,72.000,44.500,1,1,0.964212|0.940414,0.964212|0.940414|0.966147|0.958618,false
1260,47.875440,50.029478,1.044993,51.000,34.200,1,1,0.935086|1.095843,0.935086|1.095843|0.954189|1.024373,false
1261,46.050257,43.881963,0.952915,67.400,42.000,1,1,0.986937|1.012586,0.986937|1.012586|0.932387|1.052211,false
1262,19.330111,53.984436,2.792764,55.400,35.900,1,1,1.067511|0.969128,1.067511|0.969128|1.039969|1.010572,false
1263,45.949550,39.929457,0.868985,62.000,39.400,1,1,0.886171|0.987602,0.886171|0.987602|1.017078|0.980928,false
1264,46.505660,40.411436,0.868957,64.200,40.300,1,1,1.005559|1.035863,1.005559|1.035863|0.934100|0.929764,false
1265,46.651246,42.843089,0.918370,59.600,38.300,1,1,0.978912|1.041467,0.978912|1.041467|0.984580|1.029916,false
1266,20.632737,53.217175,2.579259,61.400,38.800,1,1,1.017726|0.953614,1.017726|0.953614|1.036950|0.991250,false
1267,22.217706,52.252548,2.351843,60.000,38.200,1,1,1.046797|1.002492,1.046797|1.002492|1.022682|0.952920,false
1268,23.184347,51.931490,2.239938,62.200,39.300,1,1,1.036550|1.005000,1.036550|1.005000|1.042608|0.993352,false
1269,25.443674,52.115105,2.048254,68.200,42.400,1,1,1.014209|0.998801,1.014209|0.998801|1.031905|0.968800,false
1270,24.879759,49.920802,2.006483,69.800,43.300,1,1,0.993478|0.979608,0.993478|0.979608|0.940634|0.996673,false
1271,20.379142,51.161669,2.510492,73.800,45.400,1,1,0.917696|0.867707,0.917696|0.867707|1.083105|0.838467,false
1272,23.839377,51.127610,2.144671,55.800,36.200,1,1,1.111910|1.081256,1.111910|1.081256|1.018296|0.984947,false
1273,25.048958,51.108135,2.040330,69.600,43.200,1,1,1.001505|0.977790,1.001505|0.977790|1.013339|1.039342,false
1274,45.481343,37.559592,0.825824,67.000,41.700,1,1,0.944672|0.987106,0.944672|0.987106|1.026010|1.028280,false
1275,45.373865,45.936605,1.012402,72.000,42.800,1,1,0.964000|0.978040,0.964000|0.978040|1.026894|1.036770,false
1276,20.875293,55.602269,2.663544,54.400,35.400,1,1,1.095205|1.019358,1.095205|1.019358|0.926273|0.978576,false
1277,19.681685,55.360145,2.812775,61.000,38.600,1,1,1.012145|0.933157,1.012145|0.933157|1.007517|0.990960,false
1278,25.953438,49.227149,1.896749,70.800,43.900,1,1,1.000435|0.989064,1.000435|0.989064|0.891756|1.016725,false
1279,45.969522,40.527893,0.881625,65.800,40.900,1,1,0.987985|1.014564,0.987985|1.014564|1.025390|0.993885,false
1280,46.056373,39.391536,0.855290,64.600,40.600,1,1,0.973203|1.009318,0.973203|1.009318|1.044564|0.978594,false
1281,47.094159,44.352642,0.941786,57.800,37.300,1,1,0.989531|1.055892,0.989531|1.055892|0.981580|1.071705,false
1282,27.066262,52.740423,1.948567,73.600,45.800,1,1,0.995881|0.986323,0.995881|0.986323|1.064528|1.051284,false
1283,18.727844,58.096942,3.102169,59.600,37.900,1,1,1.017184|0.919977,1.017184|0.919977|0.966589|1.003326,true
1284,20.739775,53.406306,2.575067,56.600,36.500,1,1,1.068497|0.996205,1.068497|0.996205|1.023874|0.975271,false
1285,45.929276,39.932701,0.869439,62.000,39.400,1,1,0.895440|0.990444,0.895440|0.990444|0.996302|1.025469,false
1286,25.586312,51.661542,2.019109,71.600,44.400,1,1,0.989418|0.977881,0.989418|0.977881|1.037205|1.075604,false
1287,16.111034,59.737709,3.707876,53.000,34.700,1,1,1.064870|0.901835,1.064870|0.901835|1.010774|0.962902,true
1288,22.033938,53.302392,2.419104,64.200,40.200,1,1,1.007219|0.963510,1.007219|0.963510|0.935389|1.037161,false
1289,46.709209,42.383023,0.907380,60.400,38.600,1,1,0.974352|1.033226,0.974352|1.033226|1.013270|1.095977,false
1290,45.564691,54.270081,1.191056,73.400,39.800,1,1,1.010541|1.012719,1.010541|1.012719|0.986022|1.105362,false
1291,45.609839,47.349360,1.038139,69.600,42.100,1,1,0.982634|0.998091,0.982634|0.998091|0.918845|0.985983,false
1292,46.623010,42.079404,0.902546,61.400,39.000,1,1,0.990128|1.036938,0.990128|1.036938|1.022727|0.989940,false
1293,21.753728,53.434087,2.456319,59.600,38.000,1,1,1.048022|0.992879,1.048022|0.992879|1.006145|0.971805,false
1294,19.839409,53.565079,2.699933,61.200,38.700,1,1,1.012607|0.935847,1.012607|0.935847|1.076965|1.024437,false
1295,24.499531,51.708197,2.110579,65.000,40.800,1,1,1.027070|1.007475,1.027070|1.007475|1.050916|1.025112,false
1296,46.184204,39.309042,0.851136,64.800,40.600,1,1,0.993600|1.017583,0.993600|1.017583|0.984227|1.082886,false
1297,45.587213,53.825906,1.180724,79.800,40.100,1,1,1.021308|1.019913,1.021308|1.019913|1.007907|1.046767,false
1298,27.236194,51.827320,1.902884,65.000,40.800,1,1,1.064318|1.057439,1.064318|1.057439|1.053992|1.010040,false
1299,23.943179,51.689651,2.158847,68.200,42.300,1,1,0.995514|0.972358,0.995514|0.972358|1.002487|0.980458,false
1300,18.825718,56.774429,3.015791,56.400,36.400,1,1,1.051565|0.947336,1.051565|0.947336|1.000565|0.970862,true
1301,19.871810,54.173522,2.726149,57.000,36.700,1,1,1.054804|0.968667,1.054804|0.968667|1.029861|0.956938,false
1302,24.969559,50.870382,2.037296,74.200,46.000,1,1,0.961249|0.953356,0.961249|0.953356|0.963846|1.050015,false
1303,19.933675,55.814707,2.800021,58.200,37.300,1,1,1.042271|0.961135,1.042271|0.961135|1.002260|1.016051,false
1304,46.905767,44.695632,0.952881,56.600,36.800,1,1,0.945517|1.048478,0.945517|1.048478|1.054758|1.002372,false
