seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1000,19.429416,25.839495,1.329916,54.800,32.500,100,97,1.075507|0.977135,1.075507|0.977135|1.053398|0.981070,false
1001,18.434284,26.110366,1.416403,56.800,32.600,100,97,1.042499|0.933565,1.042499|0.933565|1.035849|1.031571,false
1002,45.835523,26.279206,0.573337,68.800,32.800,100,97,0.998518|1.009196,0.998518|1.009196|1.006434|0.906796,false
1003,45.899108,25.239355,0.549888,66.000,33.100,100,97,0.972076|1.002847,0.972076|1.002847|0.955295|0.980873,false
1004,26.748235,25.938774,0.969738,67.800,32.700,100,97,1.035821|1.022935,1.035821|1.022935|1.022024|0.933485,false
1005,21.204554,25.351153,1.195552,58.800,33.100,100,97,1.049159|0.987013,1.049159|0.987013|0.978271|0.974786,false
1006,20.868667,26.791941,1.283836,62.600,32.700,100,97,1.008633|0.950272,1.008633|0.950272|1.026059|1.004833,false
1007,25.054663,25.665978,1.024399,69.400,32.800,100,97,0.998852|0.985173,0.998852|0.985173|0.981297|0.979449,false
1008,45.938984,26.238268,0.571155,68.000,32.400,100,97,0.990516|1.010395,0.990516|1.010395|0.991031|1.064393,false
1009,24.869400,24.666847,0.991855,62.600,32.500,100,97,1.053660|1.037161,1.053660|1.037161|0.957095|1.004202,false
1010,47.646131,25.994512,0.545574,55.400,32.000,100,97,1.042865|1.097482,1.042865|1.097482|1.023048|0.998964,false
1011,21.830912,25.685903,1.176584,62.400,32.700,100,97,1.021201|0.972041,1.021201|0.972041|0.984369|1.010979,false
1012,45.139577,27.343278,0.605750,73.800,33.600,100,97,0.983749|0.984893,0.983749|0.984893|1.025542|0.979948,false
1013,20.758307,25.969444,1.251039,64.200,33.200,100,97,0.994558|0.934084,0.994558|0.934084|0.988417|0.991159,false
1014,46.420106,27.988601,0.602941,64.400,33.700,100,97,1.020375|1.035821,1.020375|1.035821|1.095278|0.960141,false
1015,28.979453,27.539545,0.950313,78.200,33.500,100,97,0.987187|0.988075,0.987187|0.988075|1.043986|0.986375,false
1016,46.003995,27.527934,0.598381,68.800,32.800,100,97,1.016443|1.025406,1.016443|1.025406|1.039866|1.025076,false
1017,45.551844,25.573462,0.561414,72.800,32.800,100,97,1.003234|1.010413,1.003234|1.010413|0.989932|0.971610,false
1018,19.217792,26.044518,1.355229,57.000,33.000,100,97,1.049541|0.952914,1.049541|0.952914|1.022131|0.964313,false
1019,21.745708,24.892933,1.144729,61.600,33.200,100,97,1.028705|0.976622,1.028705|0.976622|0.940769|0.950058,false
1020,46.533650,28.212486,0.606281,60.000,34.300,100,97,0.963393|1.032489,0.963393|1.032489|1.091114|0.952186,false
1021,20.435806,26.945565,1.318547,65.600,33.300,100,97,0.979701|0.917901,0.979701|0.917901|1.008502|0.998393,false
1022,24.835231,25.479113,1.025926,63.600,33.100,100,97,1.048769|1.022551,1.048769|1.022551|1.004586|0.986415,false
1023,45.404855,24.808875,0.546393,70.200,33.500,100,97,0.969375|0.989305,0.969375|0.989305|0.955621|0.860689,false
1024,24.649429,25.345777,1.028250,66.200,33.000,100,97,1.019413|1.002481,1.019413|1.002481|0.965304|0.983980,false
1025,20.545127,24.564250,1.195624,59.600,32.600,100,97,1.035571|0.964983,1.035571|0.964983|0.932302|1.039986,false
1026,21.369686,25.634349,1.199566,61.400,32.700,100,97,1.025917|0.969298,1.025917|0.969298|1.010895|0.987238,false
1027,48.046340,26.199358,0.545294,51.200,32.000,100,97,0.995229|1.115392,0.995229|1.115392|0.980022|1.085084,false
1028,19.220337,28.051653,1.459478,56.800,33.300,100,97,1.050533|0.954239,1.050533|0.954239|1.084543|0.964167,false
1029,47.303035,24.617077,0.520412,56.000,32.500,100,97,1.003473|1.074978,1.003473|1.074978|0.916094|1.047504,false
1030,46.153608,25.794296,0.558879,63.200,32.900,100,97,0.969189|1.018193,0.969189|1.018193|0.984911|0.920252,false
1031,46.482801,23.770360,0.511380,63.800,32.300,100,97,1.013429|1.036825,1.013429|1.036825|0.896563|1.031766,false
1032,44.606582,27.701380,0.621016,74.400,34.700,100,97,0.916172|0.943358,0.916172|0.943358|1.035261|0.980390,false
1033,18.469791,25.277829,1.368604,52.600,33.100,100,97,1.092929|0.970810,1.092929|0.970810|0.978478|0.948201,false
1034,47.513917,27.853545,0.586219,56.200,32.100,100,97,1.046984|1.095907,1.046984|1.095907|1.065584|0.983604,false
1035,45.849702,25.113164,0.547728,70.000,32.900,100,97,1.019673|1.028160,1.019673|1.028160|0.947027|1.013506,false
1036,19.252734,25.403467,1.319473,52.000,32.700,100,97,1.110545|0.999274,1.110545|0.999274|0.994120|1.001330,false
1037,46.737961,27.350890,0.585196,60.000,32.400,100,97,1.003752|1.052073,1.003752|1.052073|1.035341|1.047919,false
1038,45.843329,27.540246,0.600747,67.400,33.800,100,97,0.992219|1.013576,0.992219|1.013576|1.054278|0.907011,false
1039,45.668715,28.371166,0.621239,63.800,34.800,100,97,0.911342|0.985856,0.911342|0.985856|1.064376|1.047487,false
